Unnamed: 0,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH2,Valores CH2,Tiempo CH2,Voltaje CH2
0,CH activo,1,-0.000145,3600.0,CH activo,2,-0.000145,-0.08
1,Int. Temporal,1e-07,-0.0001449,3600.0,Int. Temporal,1e-07,-0.0001449,-0.08
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.4E3
",-0.0001448,3600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.4E3
",-0.0001448,-0.08
3,Unidades verticales,"""V""",-0.0001447,3800.0,Unidades verticales,"""V""",-0.0001447,-0.06
4,Volts x div,5.0E3,-0.0001446,3600.0,Volts x div,5.0E-1,-0.0001446,-0.06
5,Offset vertical (en unidades digitales),128.0,-0.0001445,3800.0,Offset vertical (en unidades digitales),128.0,-0.0001445,-0.08
6,Unidades horizontales,"""s""
",-0.0001444,3600.0,Unidades horizontales,"""s""
",-0.0001444,-0.08
7,Escala horizontal,1e-07,-0.0001443,3800.0,Escala horizontal,1e-07,-0.0001443,-0.08
8,Cero vertical (en unidades verticales),0.0,-0.0001442,3800.0,Cero vertical (en unidades verticales),0.0,-0.0001442,-0.1
9,Factor de Atenuacion,1.0E3,-0.0001441,3800.0,Factor de Atenuacion,1.0E1,-0.0001441,-0.08
10,Fecha,13-04-2023 14:55:36,-0.000144,3800.0,Fecha,13-04-2023 14:55:42,-0.000144,-0.1
11,,,-0.0001439,3600.0,,,-0.0001439,-0.08
12,,,-0.0001438,3800.0,,,-0.0001438,-0.06
13,,,-0.0001437,4000.0,,,-0.0001437,-0.06
14,,,-0.0001436,3800.0,,,-0.0001436,-0.1
15,,,-0.0001435,4000.0,,,-0.0001435,-0.1
16,,,-0.0001434,4000.0,,,-0.0001434,-0.08
17,,,-0.0001433,4000.0,,,-0.0001433,-0.06
18,,,-0.0001432,3800.0,,,-0.0001432,-0.08
19,,,-0.0001431,4000.0,,,-0.0001431,-0.06
20,,,-0.000143,4000.0,,,-0.000143,-0.08
21,,,-0.0001429,3800.0,,,-0.0001429,-0.08
22,,,-0.0001428,3800.0,,,-0.0001428,-0.06
23,,,-0.0001427,3800.0,,,-0.0001427,-0.06
24,,,-0.0001426,4000.0,,,-0.0001426,-0.08
25,,,-0.0001425,4000.0,,,-0.0001425,-0.06
26,,,-0.0001424,4200.0,,,-0.0001424,-0.08
27,,,-0.0001423,4200.0,,,-0.0001423,-0.08
28,,,-0.0001422,4200.0,,,-0.0001422,-0.08
29,,,-0.0001421,4000.0,,,-0.0001421,-0.08
30,,,-0.000142,4200.0,,,-0.000142,-0.08
31,,,-0.0001419,4200.0,,,-0.0001419,-0.08
32,,,-0.0001418,4200.0,,,-0.0001418,-0.06
33,,,-0.0001417,4000.0,,,-0.0001417,-0.06
34,,,-0.0001416,4200.0,,,-0.0001416,-0.06
35,,,-0.0001415,4200.0,,,-0.0001415,-0.06
36,,,-0.0001414,4200.0,,,-0.0001414,-0.04
37,,,-0.0001413,4200.0,,,-0.0001413,-0.06
